mesh,mesh_path,noise_frac,k_sources,sources,use_robust,t_coef,rel_L2,rel_Linf,roughness
musette_maltese.obj,data/meshes/musette_maltese.obj,0.0,1,112500,True,0.05,0.5875031801079533,0.7644351450785328,511.31992166113866
musette_maltese.obj,data/meshes/musette_maltese.obj,0.0,1,112500,True,0.0809383877820033,0.517786323349637,0.7186499331950057,622.6415599687007
musette_maltese.obj,data/meshes/musette_maltese.obj,0.0,1,112500,True,0.13102045233499882,0.43557952289309326,0.66060266496318,784.0524364355869
musette_maltese.obj,data/meshes/musette_maltese.obj,0.0,1,112500,True,0.21209168356927224,0.33863906109392716,0.5842419540458648,1015.4227077153538
musette_maltese.obj,data/meshes/musette_maltese.obj,0.0,1,112500,True,0.343327178601354,0.23053708694348268,0.4843219763800452,1312.3150777730916
musette_maltese.obj,data/meshes/musette_maltese.obj,0.0,1,112500,True,0.55576696635475,0.12385273907205416,0.3560093145184352,1704.7840028679593
musette_maltese.obj,data/meshes/musette_maltese.obj,0.0,1,112500,True,0.8996576447849663,0.03684558018371493,0.18410027295800857,2236.6348157947705
musette_maltese.obj,data/meshes/musette_maltese.obj,0.0,1,112500,True,1.456336786492988,0.011868974236345314,0.04083678402560965,2447.0753786842697
musette_maltese.obj,data/meshes/musette_maltese.obj,0.0,1,112500,True,2.35747103132732,0.008045216949586098,0.02994354610301318,2462.063178563128
musette_maltese.obj,data/meshes/musette_maltese.obj,0.0,1,112500,True,3.8161980903681987,0.007471271553129906,0.021702465398132125,2472.7446591028124
musette_maltese.obj,data/meshes/musette_maltese.obj,0.0,1,112500,True,6.177538417823236,0.009362588485954716,0.019631056491825817,2479.879916475409
musette_maltese.obj,data/meshes/musette_maltese.obj,0.0,1,112500,True,10.0,0.01236383593393631,0.024981997956519425,2483.9113033964777
